Freq.	V(vout2)/(-V(verr2))
1.00000000000000e+03	(6.93565400260102e+01dB,-6.61770467511784e+00°)
1.02329299228075e+03	(6.93538227948959e+01dB,-6.77043615755364e+00°)
1.04712854805090e+03	(6.93509793255899e+01dB,-6.92662520262983e+00°)
1.07151930523761e+03	(6.93480038417363e+01dB,-7.08634533495312e+00°)
1.09647819614318e+03	(6.93448903110808e+01dB,-7.24967130703757e+00°)
1.12201845430196e+03	(6.93416324348982e+01dB,-7.41667909521042e+00°)
1.14815362149688e+03	(6.93382236370790e+01dB,-7.58744589333373e+00°)
1.17489755493953e+03	(6.93346570529926e+01dB,-7.76205010427769e+00°)
1.20226443461741e+03	(6.93309255176443e+01dB,-7.94057132854130e+00°)
1.23026877081238e+03	(6.93270215537740e+01dB,-8.12309035038929e+00°)
1.25892541179417e+03	(6.93229373596520e+01dB,-8.30968912111193e+00°)
1.28824955169313e+03	(6.93186647960242e+01dB,-8.50045073866421e+00°)
1.31825673855641e+03	(6.93141953732657e+01dB,-8.69545942445069e+00°)
1.34896288259165e+03	(6.93095202377019e+01dB,-8.89480049603348e+00°)
1.38038426460288e+03	(6.93046301579251e+01dB,-9.09856033630991e+00°)
1.41253754462275e+03	(6.92995155104468e+01dB,-9.30682635823729e+00°)
1.44543977074593e+03	(6.92941662652289e+01dB,-9.51968696538061e+00°)
1.47910838816821e+03	(6.92885719706762e+01dB,-9.73723150754638e+00°)
1.51356124843621e+03	(6.92827217385168e+01dB,-9.95955023165908e+00°)
1.54881661891248e+03	(6.92766042282151e+01dB,-1.01867342271722e+01°)
1.58489319246111e+03	(6.92702076310369e+01dB,-1.04188753657930e+01°)
1.62181009735893e+03	(6.92635196540600e+01dB,-1.06560662355214e+01°)
1.65958690743756e+03	(6.92565275037163e+01dB,-1.08984000681499e+01°)
1.69824365246174e+03	(6.92492178691498e+01dB,-1.11459706601707e+01°)
1.73780082874937e+03	(6.92415769055545e+01dB,-1.13988722869156e+01°)
1.77827941003892e+03	(6.92335902169420e+01dB,-1.16571996088041e+01°)
1.81970085860998e+03	(6.92252428398468e+01dB,-1.19210475712838e+01°)
1.86208713666287e+03	(6.92165192251181e+01dB,-1.21905112941962e+01°)
1.90546071796325e+03	(6.92074032214682e+01dB,-1.24656859550499e+01°)
1.94984459975804e+03	(6.91978780582910e+01dB,-1.27466666624346e+01°)
1.99526231496888e+03	(6.91879263285693e+01dB,-1.30335483201768e+01°)
2.04173794466953e+03	(6.91775299721901e+01dB,-1.33264254822502e+01°)
2.08929613085404e+03	(6.91666702592101e+01dB,-1.36253921972824e+01°)
2.13796208950223e+03	(6.91553277739260e+01dB,-1.39305418434890e+01°)
2.18776162394955e+03	(6.91434823987274e+01dB,-1.42419669519534e+01°)
2.23872113856834e+03	(6.91311132991451e+01dB,-1.45597590200161e+01°)
2.29086765276777e+03	(6.91181989091380e+01dB,-1.48840083127894e+01°)
2.34422881531992e+03	(6.91047169171636e+01dB,-1.52148036531962e+01°)
2.39883291901949e+03	(6.90906442532327e+01dB,-1.55522322004454e+01°)
2.45470891568503e+03	(6.90759570769651e+01dB,-1.58963792165636e+01°)
2.51188643150958e+03	(6.90606307666594e+01dB,-1.62473278205948e+01°)
2.57039578276886e+03	(6.90446399098041e+01dB,-1.66051587308678e+01°)
2.63026799189538e+03	(6.90279582949074e+01dB,-1.69699499947789e+01°)
2.69153480392691e+03	(6.90105589051467e+01dB,-1.73417767067694e+01°)
2.75422870333816e+03	(6.89924139135051e+01dB,-1.77207107135924e+01°)
2.81838293126445e+03	(6.89734946801695e+01dB,-1.81068203082415e+01°)
2.88403150312660e+03	(6.89537717518743e+01dB,-1.85001699117967e+01°)
2.95120922666638e+03	(6.89332148637095e+01dB,-1.89008197442271e+01°)
3.01995172040201e+03	(6.89117929432964e+01dB,-1.93088254839876e+01°)
3.09029543251359e+03	(6.88894741185142e+01dB,-1.97242379192590e+01°)
3.16227766016837e+03	(6.88662257264481e+01dB,-2.01471025857198e+01°)
3.23593656929628e+03	(6.88420143272877e+01dB,-2.05774593997731e+01°)
3.31131121482591e+03	(6.88168057207331e+01dB,-2.10153422821802e+01°)
3.38844156139202e+03	(6.87905649660535e+01dB,-2.14607787753682e+01°)
3.46736850452531e+03	(6.87632564060093e+01dB,-2.19137896557497e+01°)
3.54813389233575e+03	(6.87348436947546e+01dB,-2.23743885423488e+01°)
3.63078054770101e+03	(6.87052898297135e+01dB,-2.28425815028212e+01°)
3.71535229097172e+03	(6.86745571880447e+01dB,-2.33183666598284e+01°)
3.80189396320560e+03	(6.86426075674108e+01dB,-2.38017337985569e+01°)
3.89045144994280e+03	(6.86094022311860e+01dB,-2.42926639773885e+01°)
3.98107170553497e+03	(6.85749019595234e+01dB,-2.47911291478734e+01°)
4.07380277804112e+03	(6.85390671031221e+01dB,-2.52970917768525e+01°)
4.16869383470335e+03	(6.85018576440790e+01dB,-2.58105044860052e+01°)
4.26579518801592e+03	(6.84632332604772e+01dB,-2.63313097016116e+01°)
4.36515832240165e+03	(6.84231533964887e+01dB,-2.68594393226650e+01°)
4.46683592150962e+03	(6.83815773369689e+01dB,-2.73948144072247e+01°)
4.57088189614874e+03	(6.83384642872037e+01dB,-2.79373448823994e+01°)
4.67735141287197e+03	(6.82937734572512e+01dB,-2.84869292796527e+01°)
4.78630092322637e+03	(6.82474641514971e+01dB,-2.90434545013968e+01°)
4.89778819368445e+03	(6.81994958610775e+01dB,-2.96067956144036e+01°)
5.01187233627271e+03	(6.81498283620759e+01dB,-3.01768156844404e+01°)
5.12861383991364e+03	(6.80984218165246e+01dB,-3.07533656458200e+01°)
5.24807460249771e+03	(6.80452368770043e+01dB,-3.13362842128852e+01°)
5.37031796370252e+03	(6.79902347950909e+01dB,-3.19253978391497e+01°)
5.49540873857623e+03	(6.79333775304736e+01dB,-3.25205207159305e+01°)
5.62341325190348e+03	(6.78746278639751e+01dB,-3.31214548278542e+01°)
5.75439937337156e+03	(6.78139495110490e+01dB,-3.37279900560816e+01°)
5.88843655355588e+03	(6.77513072361553e+01dB,-3.43399043350938e+01°)
6.02559586074356e+03	(6.76866669680888e+01dB,-3.49569638679176e+01°)
6.16595001861481e+03	(6.76199959132046e+01dB,-3.55789233903852e+01°)
6.30957344480192e+03	(6.75512626687200e+01dB,-3.62055264979721e+01°)
6.45654229034654e+03	(6.74804373341280e+01dB,-3.68365060304139e+01°)
6.60693448007594e+03	(6.74074916183993e+01dB,-3.74715845061279e+01°)
6.76082975391980e+03	(6.73323989449745e+01dB,-3.81104746188400e+01°)
6.91830970918935e+03	(6.72551345524098e+01dB,-3.87528797890393e+01°)
7.07945784384136e+03	(6.71756755886829e+01dB,-3.93984947617326e+01°)
7.24435960074988e+03	(6.70940012009530e+01dB,-4.00470062611898e+01°)
7.41310241300916e+03	(6.70100926186501e+01dB,-4.06980936929029e+01°)
7.58577575029182e+03	(6.69239332281294e+01dB,-4.13514298829947e+01°)
7.76247116628690e+03	(6.68355086413191e+01dB,-4.20066818682752e+01°)
7.94328234724279e+03	(6.67448067539665e+01dB,-4.26635117111528e+01°)
8.12830516164097e+03	(6.66518177963781e+01dB,-4.33215773539592e+01°)
8.31763771102669e+03	(6.65565343745022e+01dB,-4.39805334981402e+01°)
8.51138038202374e+03	(6.64589515003218e+01dB,-4.46400324982644e+01°)
8.70963589956078e+03	(6.63590666136333e+01dB,-4.52997252799194e+01°)
8.91250938133743e+03	(6.62568795924949e+01dB,-4.59592622599228e+01°)
9.12010839355907e+03	(6.61523927535694e+01dB,-4.66182942709581e+01°)
9.33254300796988e+03	(6.60456108429192e+01dB,-4.72764734888842e+01°)
9.54992586021433e+03	(6.59365410152310e+01dB,-4.79334543422420e+01°)
9.77237220955808e+03	(6.58251928042495e+01dB,-4.85888944160249e+01°)
9.99999999999997e+03	(6.57115780829525e+01dB,-4.92424553322403e+01°)
1.02329299228075e+04	(6.55957110137909e+01dB,-4.98938036010531e+01°)
1.04712854805090e+04	(6.54776079904344e+01dB,-5.05426114448569e+01°)
1.07151930523760e+04	(6.53572875713144e+01dB,-5.11885575893338e+01°)
1.09647819614318e+04	(6.52347704045957e+01dB,-5.18313280097382e+01°)
1.12201845430196e+04	(6.51100791461649e+01dB,-5.24706166357767e+01°)
1.14815362149688e+04	(6.49832383709781e+01dB,-5.31061260092409e+01°)
1.17489755493953e+04	(6.48542744784231e+01dB,-5.37375678908112e+01°)
1.20226443461741e+04	(6.47232155926175e+01dB,-5.43646638152289e+01°)
1.23026877081238e+04	(6.45900914582031e+01dB,-5.49871455911261e+01°)
1.25892541179416e+04	(6.44549333325556e+01dB,-5.56047557454048e+01°)
1.28824955169313e+04	(6.43177738751592e+01dB,-5.62172479112071e+01°)
1.31825673855640e+04	(6.41786470348259e+01dB,-5.68243871582349e+01°)
1.34896288259165e+04	(6.40375879358214e+01dB,-5.74259502687216e+01°)
1.38038426460288e+04	(6.38946327628291e+01dB,-5.80217259516540e+01°)
1.41253754462275e+04	(6.37498186468424e+01dB,-5.86115150104108e+01°)
1.44543977074592e+04	(6.36031835508427e+01dB,-5.91951304467742e+01°)
1.47910838816820e+04	(6.34547661578841e+01dB,-5.97723975239969e+01°)
1.51356124843620e+04	(6.33046057601613e+01dB,-6.03431537698419e+01°)
1.54881661891248e+04	(6.31527421513573e+01dB,-6.09072489410777e+01°)
1.58489319246111e+04	(6.29992155214401e+01dB,-6.14645449377762e+01°)
1.62181009735892e+04	(6.28440663550851e+01dB,-6.20149156785650e+01°)
1.65958690743755e+04	(6.26873353337271e+01dB,-6.25582469355765e+01°)
1.69824365246174e+04	(6.25290632419596e+01dB,-6.30944361371363e+01°)
1.73780082874937e+04	(6.23692908777600e+01dB,-6.36233921313766e+01°)
1.77827941003892e+04	(6.22080589679702e+01dB,-6.41450349293378e+01°)
1.81970085860998e+04	(6.20454080877703e+01dB,-6.46592954123813e+01°)
1.86208713666286e+04	(6.18813785857296e+01dB,-6.51661150262212e+01°)
1.90546071796324e+04	(6.17160105130967e+01dB,-6.56654454456886e+01°)
1.94984459975804e+04	(6.15493435586450e+01dB,-6.61572482306816e+01°)
1.99526231496887e+04	(6.13814169880703e+01dB,-6.66414944624048e+01°)
2.04173794466952e+04	(6.12122695885055e+01dB,-6.71181643708807e+01°)
2.08929613085403e+04	(6.10419396178268e+01dB,-6.75872469529387e+01°)
2.13796208950222e+04	(6.08704647587155e+01dB,-6.80487395836983e+01°)
2.18776162394954e+04	(6.06978820774760e+01dB,-6.85026476260714e+01°)
2.23872113856833e+04	(6.05242279871618e+01dB,-6.89489840352714e+01°)
2.29086765276776e+04	(6.03495382151874e+01dB,-6.93877689658287e+01°)
2.34422881531991e+04	(6.01738477750462e+01dB,-6.98190293794738e+01°)
2.39883291901948e+04	(5.99971909420592e+01dB,-7.02427986574446e+01°)
2.45470891568502e+04	(5.98196012328372e+01dB,-7.06591162164238e+01°)
2.51188643150957e+04	(5.96411113885166e+01dB,-7.10680271342246e+01°)
2.57039578276885e+04	(5.94617533610362e+01dB,-7.14695817765757e+01°)
2.63026799189537e+04	(5.92815583030667e+01dB,-7.18638354413018e+01°)
2.69153480392690e+04	(5.91005565604310e+01dB,-7.22508480027822e+01°)
2.75422870333815e+04	(5.89187776677004e+01dB,-7.26306835743641e+01°)
2.81838293126444e+04	(5.87362503460097e+01dB,-7.30034101746852e+01°)
2.88403150312659e+04	(5.85530025035142e+01dB,-7.33690994107271e+01°)
2.95120922666637e+04	(5.83690612379911e+01dB,-7.37278261722222e+01°)
3.01995172040200e+04	(5.81844528410892e+01dB,-7.40796683303492e+01°)
3.09029543251358e+04	(5.79992028049344e+01dB,-7.44247064607575e+01°)
3.16227766016836e+04	(5.78133358298688e+01dB,-7.47630235676597e+01°)
3.23593656929627e+04	(5.76268758339444e+01dB,-7.50947048266692e+01°)
3.31131121482590e+04	(5.74398459636673e+01dB,-7.54198373385284e+01°)
3.38844156139201e+04	(5.72522686058176e+01dB,-7.57385098929691e+01°)
3.46736850452530e+04	(5.70641654003850e+01dB,-7.60508127468152e+01°)
3.54813389233574e+04	(5.68755572544155e+01dB,-7.63568374146377e+01°)
3.63078054770100e+04	(5.66864643564059e+01dB,-7.66566764653672e+01°)
3.71535229097171e+04	(5.64969061916273e+01dB,-7.69504233374064e+01°)
3.80189396320559e+04	(5.63069015578355e+01dB,-7.72381721609717e+01°)
3.89045144994279e+04	(5.61164685814043e+01dB,-7.75200175904225e+01°)
3.98107170553495e+04	(5.59256247338983e+01dB,-7.77960546495091e+01°)
4.07380277804111e+04	(5.57343868488137e+01dB,-7.80663785840670e+01°)
4.16869383470333e+04	(5.55427711385941e+01dB,-7.83310847267497e+01°)
4.26579518801590e+04	(5.53507932116258e+01dB,-7.85902683669147e+01°)
4.36515832240164e+04	(5.51584680895323e+01dB,-7.88440246374151e+01°)
4.46683592150961e+04	(5.49658102241170e+01dB,-7.90924483987313e+01°)
4.57088189614873e+04	(5.47728335145646e+01dB,-7.93356341414815e+01°)
4.67735141287196e+04	(5.45795513243244e+01dB,-7.95736758901475e+01°)
4.78630092322636e+04	(5.43859764979589e+01dB,-7.98066671176340e+01°)
4.89778819368444e+04	(5.41921213777203e+01dB,-8.00347006641265e+01°)
