Freq.	V(vout)/(-V(vn))
1.00000000000000e+00	(9.67672261552728e+01dB,-9.85573394407573e-01°)
1.04712854805090e+00	(9.67671022101713e+01dB,-1.03201222012226e+00°)
1.09647819614319e+00	(9.67669663111536e+01dB,-1.08063818619529e+00°)
1.14815362149688e+00	(9.67668173056392e+01dB,-1.13155415404083e+00°)
1.20226443461741e+00	(9.67666539303929e+01dB,-1.18486780095665e+00°)
1.25892541179417e+00	(9.67664748000190e+01dB,-1.24069184226572e+00°)
1.31825673855641e+00	(9.67662783959175e+01dB,-1.29914426342534e+00°)
1.38038426460289e+00	(9.67660630531727e+01dB,-1.36034856214930e+00°)
1.44543977074593e+00	(9.67658269468870e+01dB,-1.42443400112387e+00°)
1.51356124843621e+00	(9.67655680764936e+01dB,-1.49153587147922e+00°)
1.58489319246111e+00	(9.67652842483264e+01dB,-1.56179576741071e+00°)
1.65958690743756e+00	(9.67649730580630e+01dB,-1.63536187261284e+00°)
1.73780082874938e+00	(9.67646318707279e+01dB,-1.71238925852786e+00°)
1.81970085860999e+00	(9.67642577966699e+01dB,-1.79304019440711e+00°)
1.90546071796325e+00	(9.67638476699548e+01dB,-1.87748447078524e+00°)
1.99526231496888e+00	(9.67633980193797e+01dB,-1.96589973478401e+00°)
2.08929613085404e+00	(9.67629050406794e+01dB,-2.05847183922801e+00°)
2.18776162394956e+00	(9.67623645645507e+01dB,-2.15539520477774e+00°)
2.29086765276778e+00	(9.67617720218647e+01dB,-2.25687319556310e+00°)
2.39883291901949e+00	(9.67611224044335e+01dB,-2.36311850807230e+00°)
2.51188643150958e+00	(9.67604102246779e+01dB,-2.47435357426790e+00°)
2.63026799189539e+00	(9.67596294695432e+01dB,-2.59081097781037e+00°)
2.75422870333817e+00	(9.67587735497231e+01dB,-2.71273388351830e+00°)
2.88403150312661e+00	(9.67578352463039e+01dB,-2.84037648056211e+00°)
3.01995172040202e+00	(9.67568066496803e+01dB,-2.97400443756966e+00°)
3.16227766016839e+00	(9.67556790960952e+01dB,-3.11389537086612e+00°)
3.31131121482592e+00	(9.67544430944263e+01dB,-3.26033932283685e+00°)
3.46736850452532e+00	(9.67530882497773e+01dB,-3.41363925176557e+00°)
3.63078054770102e+00	(9.67516031780368e+01dB,-3.57411153011625e+00°)
3.80189396320562e+00	(9.67499754124148e+01dB,-3.74208645015123e+00°)
3.98107170553498e+00	(9.67481913038569e+01dB,-3.91790873607088e+00°)
4.16869383470336e+00	(9.67462359100513e+01dB,-4.10193805849889e+00°)
4.36515832240167e+00	(9.67440928744362e+01dB,-4.29454954926077e+00°)
4.57088189614876e+00	(9.67417442975047e+01dB,-4.49613431469219e+00°)
4.78630092322640e+00	(9.67391705932360e+01dB,-4.70709994058591e+00°)
5.01187233627274e+00	(9.67363503344093e+01dB,-4.92787098623427e+00°)
5.24807460249774e+00	(9.67332600857267e+01dB,-5.15888946227279e+00°)
5.49540873857626e+00	(9.67298742209520e+01dB,-5.40061528447839e+00°)
5.75439937337159e+00	(9.67261647254094e+01dB,-5.65352669742537e+00°)
6.02559586074359e+00	(9.67221009826054e+01dB,-5.91812065954496e+00°)
6.30957344480195e+00	(9.67176495437858e+01dB,-6.19491317987990e+00°)
6.60693448007598e+00	(9.67127738761665e+01dB,-6.48443959309714e+00°)
6.91830970918939e+00	(9.67074340970924e+01dB,-6.78725476588232e+00°)
7.24435960074992e+00	(9.67015866820180e+01dB,-7.10393321248244e+00°)
