Freq.	V(vout)/(-V(vn))
1.00000000000000e+00	(1.02784752523630e+02dB,-1.84103446316715e+00°)
1.04712854805090e+00	(1.02784320124023e+02dB,-1.92773575916821e+00°)
1.09647819614319e+00	(1.02783846056268e+02dB,-2.01851369081712e+00°)
1.14815362149688e+00	(1.02783326311322e+02dB,-2.11355898356157e+00°)
1.20226443461741e+00	(1.02782756493263e+02dB,-2.21307114407908e+00°)
1.25892541179417e+00	(1.02782131786289e+02dB,-2.31725884452729e+00°)
1.31825673855641e+00	(1.02781446912069e+02dB,-2.42634031892314e+00°)
1.38038426460289e+00	(1.02780696086575e+02dB,-2.54054377387337e+00°)
1.44543977074593e+00	(1.02779872972192e+02dB,-2.66010781265263e+00°)
1.51356124843621e+00	(1.02778970623799e+02dB,-2.78528187206254e+00°)
1.58489319246111e+00	(1.02777981434334e+02dB,-2.91632667354449e+00°)
1.65958690743756e+00	(1.02776897068437e+02dB,-3.05351468465434e+00°)
1.73780082874938e+00	(1.02775708396189e+02dB,-3.19713059408689e+00°)
1.81970085860999e+00	(1.02774405416806e+02dB,-3.34747179630016e+00°)
1.90546071796325e+00	(1.02772977177299e+02dB,-3.50484888640560e+00°)
1.99526231496888e+00	(1.02771411683269e+02dB,-3.66958616315816e+00°)
2.08929613085404e+00	(1.02769695801981e+02dB,-3.84202213858460e+00°)
2.18776162394956e+00	(1.02767815154324e+02dB,-4.02251005090125e+00°)
2.29086765276778e+00	(1.02765754000694e+02dB,-4.21141838058719e+00°)
2.39883291901949e+00	(1.02763495114513e+02dB,-4.40913136423999e+00°)
2.51188643150958e+00	(1.02761019644506e+02dB,-4.61604950326286e+00°)
2.63026799189539e+00	(1.02758306966824e+02dB,-4.83259006413476e+00°)
2.75422870333817e+00	(1.02755334520766e+02dB,-5.05918756240044e+00°)
2.88403150312661e+00	(1.02752077635004e+02dB,-5.29629422863473e+00°)
3.01995172040202e+00	(1.02748509336036e+02dB,-5.54438044568699e+00°)
3.16227766016839e+00	(1.02744600140913e+02dB,-5.80393515075107e+00°)
3.31131121482592e+00	(1.02740317834037e+02dB,-6.07546619372442e+00°)
3.46736850452532e+00	(1.02735627225987e+02dB,-6.35950064084703e+00°)
3.63078054770102e+00	(1.02730489893011e+02dB,-6.65658501137870e+00°)
3.80189396320562e+00	(1.02724863894778e+02dB,-6.96728543247855e+00°)
3.98107170553498e+00	(1.02718703476524e+02dB,-7.29218770231235e+00°)
4.16869383470336e+00	(1.02711958740451e+02dB,-7.63189723274056e+00°)
4.36515832240167e+00	(1.02704575303539e+02dB,-7.98703886600431e+00°)
4.57088189614876e+00	(1.02696493927626e+02dB,-8.35825653280231e+00°)
4.78630092322640e+00	(1.02687650125657e+02dB,-8.74621273021082e+00°)
5.01187233627274e+00	(1.02677973743402e+02dB,-9.15158779144473e+00°)
5.24807460249774e+00	(1.02667388522978e+02dB,-9.57507892381044e+00°)
5.49540873857626e+00	(1.02655811636191e+02dB,-1.00173989689584e+01°)
5.75439937337159e+00	(1.02643153201960e+02dB,-1.04792748627783e+01°)
6.02559586074359e+00	(1.02629315780729e+02dB,-1.09614457467972e+01°)
6.30957344480195e+00	(1.02614193852285e+02dB,-1.14646606933304e+01°)
6.60693448007598e+00	(1.02597673283570e+02dB,-1.19896760048381e+01°)
6.91830970918939e+00	(1.02579630780420e+02dB,-1.25372520274589e+01°)
7.24435960074992e+00	(1.02559933342657e+02dB,-1.31081494489753e+01°)
7.58577575029186e+00	(1.02538437720907e+02dB,-1.37031250221703e+01°)
7.94328234724284e+00	(1.02514989885673e+02dB,-1.43229266681895e+01°)
8.31763771102674e+00	(1.02489424520770e+02dB,-1.49682879173453e+01°)
8.70963589956084e+00	(1.02461564552876e+02dB,-1.56399216455830e+01°)
9.12010839355913e+00	(1.02431220730844e+02dB,-1.63385130705091e+01°)
9.54992586021439e+00	(1.02398191272258e+02dB,-1.70647119826999e+01°)
1.00000000000000e+01	(1.02362261595739e+02dB,-1.78191241984181e+01°)
1.04712854805090e+01	(1.02323204159776e+02dB,-1.86023022356609e+01°)
1.09647819614319e+01	(1.02280778431539e+02dB,-1.94147352367656e+01°)
1.14815362149689e+01	(1.02234731007886e+02dB,-2.02568381780517e+01°)
1.20226443461742e+01	(1.02184795915636e+02dB,-2.11289404424752e+01°)
1.25892541179417e+01	(1.02130695120659e+02dB,-2.20312738697433e+01°)
1.31825673855641e+01	(1.02072139265065e+02dB,-2.29639604099240e+01°)
1.38038426460289e+01	(1.02008828661571e+02dB,-2.39269995718327e+01°)
1.44543977074593e+01	(1.01940454568350e+02dB,-2.49202558933085e+01°)
1.51356124843621e+01	(1.01866700760145e+02dB,-2.59434466926977e+01°)
1.58489319246112e+01	(1.01787245408387e+02dB,-2.69961304072823e+01°)
1.65958690743757e+01	(1.01701763280190e+02dB,-2.80776958766232e+01°)
1.73780082874938e+01	(1.01609928247039e+02dB,-2.91873529273116e+01°)
1.81970085860999e+01	(1.01511416094653e+02dB,-3.03241246715914e+01°)
1.90546071796326e+01	(1.01405907604535e+02dB,-3.14868419102117e+01°)
1.99526231496889e+01	(1.01293091872633e+02dB,-3.26741400483348e+01°)
2.08929613085405e+01	(1.01172669806569e+02dB,-3.38844588641198e+01°)
2.18776162394956e+01	(1.01044357744477e+02dB,-3.51160454780553e+01°)
2.29086765276778e+01	(1.00907891110952e+02dB,-3.63669607376589e+01°)
2.39883291901950e+01	(1.00763028026918e+02dB,-3.76350891857010e+01°)
2.51188643150959e+01	(1.00609552778652e+02dB,-3.89181526531508e+01°)
